SAMPLE_ID,ANALYSIS_ID,ANALYSIS_CONTRACT,STATION_NAME,DEPLOYMENT_DATE_START,DEPLOYMENT_TIME_START,CAST_NUMBER,GEAR,TOW_TYPE,NET_MESH_SIZE,SAMPLING_NET_ID,MIN_SAMPLE_DEPTH,MAX_SAMPLE_DEPTH,ZOOPLANKTON_CATEGORY,TAXON_ID,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,TAXON_LIFE_DEVELOPMENT_STAGE,TAXON_SIZE_CATEGORY,Large Fract (ind./m3 depth vol),Small Fract (ind./m3 depth vol),Total abundance (ind./m3 depth vol),DEPTH_CALC_VOL,Large Fract (ind./m3 flowmeter vol),Small Fract (ind./m3 flowmeter vol),Total abundance (ind./m3 flowmeter vol),FLOWMETER_CALC_VOL
21916,82,Legacy Labo Fortier,350,2010-07-09,17:11:50,1,4x1m2,V-Tow,200,2,0,370,copepod,Calanus finmarchicus,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,Copepodid,Not Sized,0.057657658,0,0.057657658,370,0.05273349,0,0.05273349,404.55
21916,82,Legacy Labo Fortier,350,2010-07-09,17:11:50,1,4x1m2,V-Tow,200,2,0,370,copepod,Calanus glacialis,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,Copepodid,Not Sized,1.441441441,6.359300477,7.800741918,370,1.318337247,5.816193737,7.134530985,404.55
21916,82,Legacy Labo Fortier,350,2010-07-09,17:11:50,1,4x1m2,V-Tow,200,2,0,370,copepod,Calanus hyperboreus,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,Copepodid,Not Sized,0.115315315,1.271860095,1.387175411,370,0.10546698,1.163238747,1.268705727,404.55
21916,82,Legacy Labo Fortier,350,2010-07-09,17:11:50,1,4x1m2,V-Tow,200,2,0,370,copepod,Calanus spp.,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,Nauplius,Not Sized,0,48.33068362,48.33068362,370,0,44.2030724,44.2030724,404.55
21916,82,Legacy Labo Fortier,350,2010-07-09,17:11:50,1,4x1m2,V-Tow,200,2,0,370,copepod,Copepoda,Animalia,Arthropoda,Copepoda,,,Nauplius,Not Sized,0,1.271860095,1.271860095,370,0,1.163238747,1.163238747,404.55
21916,82,Legacy Labo Fortier,350,2010-07-09,17:11:50,1,4x1m2,V-Tow,200,2,0,370,copepod,Harpacticoida,Animalia,Arthropoda,Copepoda,Harpacticoida,,Copepodid,Not Sized,0,3.815580286,3.815580286,370,0,3.489716242,3.489716242,404.55
21916,82,Legacy Labo Fortier,350,2010-07-09,17:11:50,1,4x1m2,V-Tow,200,2,0,370,copepod,Metridia longa,Animalia,Arthropoda,Copepoda,Calanoida,Metridinidae,Copepodid,Not Sized,18.7963964,11.44674086,30.24313725,370,17.1911177,10.46914873,27.66026643,404.55
21916,82,Legacy Labo Fortier,350,2010-07-09,17:11:50,1,4x1m2,V-Tow,200,2,0,370,copepod,Metridia longa,Animalia,Arthropoda,Copepoda,Calanoida,Metridinidae,Nauplius,Not Sized,0,3.815580286,3.815580286,370,0,3.489716242,3.489716242,404.55
21916,82,Legacy Labo Fortier,350,2010-07-09,17:11:50,1,4x1m2,V-Tow,200,2,0,370,copepod,Microcalanus pusillus,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Copepodid,Not Sized,0,11.44674086,11.44674086,370,0,10.46914873,10.46914873,404.55
21916,82,Legacy Labo Fortier,350,2010-07-09,17:11:50,1,4x1m2,V-Tow,200,2,0,370,copepod,Oithona similis,Animalia,Arthropoda,Copepoda,Cyclopoida,Oithonidae,Copepodid,Not Sized,0.057657658,43.24324324,43.3009009,370,0.05273349,39.55011741,39.6028509,404.55
21916,82,Legacy Labo Fortier,350,2010-07-09,17:11:50,1,4x1m2,V-Tow,200,2,0,370,copepod,Pseudocalanus acuspes,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Copepodid,Not Sized,0,2.543720191,2.543720191,370,0,2.326477495,2.326477495,404.55
21916,82,Legacy Labo Fortier,350,2010-07-09,17:11:50,1,4x1m2,V-Tow,200,2,0,370,copepod,Pseudocalanus elongatus,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Copepodid,Not Sized,0,48.33068362,48.33068362,370,0,44.2030724,44.2030724,404.55
21916,82,Legacy Labo Fortier,350,2010-07-09,17:11:50,1,4x1m2,V-Tow,200,2,0,370,copepod,Pseudocalanus minutus,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Copepodid,Not Sized,0,17.80604134,17.80604134,370,0,16.28534246,16.28534246,404.55
21916,82,Legacy Labo Fortier,350,2010-07-09,17:11:50,1,4x1m2,V-Tow,200,2,0,370,copepod,Pseudocalanus spp.,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Copepodid,Not Sized,0,36.88394277,36.88394277,370,0,33.73392368,33.73392368,404.55
21916,82,Legacy Labo Fortier,350,2010-07-09,17:11:50,1,4x1m2,V-Tow,200,2,0,370,copepod,Pseudocalanus spp.,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Nauplius,Not Sized,0,132.2734499,132.2734499,370,0,120.9768297,120.9768297,404.55
21916,82,Legacy Labo Fortier,350,2010-07-09,17:11:50,1,4x1m2,V-Tow,200,2,0,370,copepod,Triconia borealis,Animalia,Arthropoda,Copepoda,Cyclopoida,Oncaeidae,Copepodid,Not Sized,0,6.359300477,6.359300477,370,0,5.816193737,5.816193737,404.55
21916,82,Legacy Labo Fortier,350,2010-07-09,17:11:50,1,4x1m2,V-Tow,200,2,0,370,egg-like,Animalia,NA,NA,NA,NA,NA,Egg,144,0.115315315,0,0.115315315,370,0.10546698,0,0.10546698,404.55
21916,82,Legacy Labo Fortier,350,2010-07-09,17:11:50,1,4x1m2,V-Tow,200,2,0,370,egg-like,Animalia,NA,NA,NA,NA,NA,Egg,185,0,1.271860095,1.271860095,370,0,1.163238747,1.163238747,404.55
21916,82,Legacy Labo Fortier,350,2010-07-09,17:11:50,1,4x1m2,V-Tow,200,2,0,370,egg-like,Animalia,NA,NA,NA,NA,NA,Egg,390,0,1.271860095,1.271860095,370,0,1.163238747,1.163238747,404.55
21916,82,Legacy Labo Fortier,350,2010-07-09,17:11:50,1,4x1m2,V-Tow,200,2,0,370,non-copepod,Cirripedia,Animalia,Arthropoda,Thecostraca,,,Nauplius,Not Sized,0,3.815580286,3.815580286,370,0,3.489716242,3.489716242,404.55
21916,82,Legacy Labo Fortier,350,2010-07-09,17:11:50,1,4x1m2,V-Tow,200,2,0,370,non-copepod,Euphausiidae,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Nauplius,Not Sized,0,16.53418124,16.53418124,370,0,15.12210372,15.12210372,404.55
21916,82,Legacy Labo Fortier,350,2010-07-09,17:11:50,1,4x1m2,V-Tow,200,2,0,370,non-copepod,Foraminifera,Chromista,Foraminifera,,,,Not defined,Not Sized,0,2.543720191,2.543720191,370,0,2.326477495,2.326477495,404.55
21916,82,Legacy Labo Fortier,350,2010-07-09,17:11:50,1,4x1m2,V-Tow,200,2,0,370,non-copepod,Fritillaria sp.,Animalia,Chordata,Appendicularia,Copelata,Fritillariidae,Not defined,Not Sized,0,19.07790143,19.07790143,370,0,17.44858121,17.44858121,404.55
21916,82,Legacy Labo Fortier,350,2010-07-09,17:11:50,1,4x1m2,V-Tow,200,2,0,370,non-copepod,Limacina helicina,Animalia,Mollusca,Gastropoda,Pteropoda,Limacinidae,Not defined,Not Sized,0,2.543720191,2.543720191,370,0,2.326477495,2.326477495,404.55
21916,82,Legacy Labo Fortier,350,2010-07-09,17:11:50,1,4x1m2,V-Tow,200,2,0,370,non-copepod,Limacina helicina,Animalia,Mollusca,Gastropoda,Pteropoda,Limacinidae,Veliger,Not Sized,0.057657658,0,0.057657658,370,0.05273349,0,0.05273349,404.55
21916,82,Legacy Labo Fortier,350,2010-07-09,17:11:50,1,4x1m2,V-Tow,200,2,0,370,non-copepod,Mysis litoralis,Animalia,Arthropoda,Malacostraca,Mysida,Mysidae,Not defined,Not Sized,0.057657658,0,0.057657658,370,0.05273349,0,0.05273349,404.55
21916,82,Legacy Labo Fortier,350,2010-07-09,17:11:50,1,4x1m2,V-Tow,200,2,0,370,non-copepod,Parasagitta elegans,Animalia,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Not defined,Not Sized,1.037837838,0,1.037837838,370,0.949202818,0,0.949202818,404.55
21916,82,Legacy Labo Fortier,350,2010-07-09,17:11:50,1,4x1m2,V-Tow,200,2,0,370,non-copepod,Polychaeta,Animalia,Annelida,Polychaeta,,,Not defined,Not Sized,0,2.543720191,2.543720191,370,0,2.326477495,2.326477495,404.55
